created_at,favorite_count,id_str,in_reply_to_user_id_str,retweet_count,source,text,,,,
Sat Dec 22 16:30:35 +0000 2018,117935,1.07652E+18,NULL,25454,Twitter for iPhone,"....going to be there for three months\, and that was seven years ago - we never left. When I became President\, ISIS was going wild. Now ISIS is largely defeated and other local countries\, including Turkey\, should be able to easily take care of whatever remains. We’re coming home!",,,,
Sat Dec 22 16:18:11 +0000 2018,90784,1.07651E+18,NULL,20944,Twitter for iPhone,"I am in the White House\, working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negotiating with the Democrats on desperately needed Border Security (Gangs\, Drugs\, Human Trafficking &amp; more) but it could be a long stay. On Syria\, we were originally...",,,,
Sat Dec 22 05:09:15 +0000 2018,0,1.07634E+18,NULL,16325,Twitter for iPhone,RT @realDonaldTrump: OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a,,,,
Sat Dec 22 02:49:05 +0000 2018,150194,1.07631E+18,NULL,38165,Twitter for iPhone,OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a,,,,
Sat Dec 22 00:16:55 +0000 2018,113562,1.07627E+18,NULL,16053,Twitter for iPhone,Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!,,,,
Fri Dec 21 23:23:27 +0000 2018,103914,1.07626E+18,NULL,22682,Twitter for iPhone,Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect America’s Southern Border! https://t.co/ws6LYhKcKl,,,,
Fri Dec 21 22:14:14 +0000 2018,138611,1.07624E+18,NULL,33445,Twitter for iPhone,A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9,,,,
Fri Dec 21 19:56:05 +0000 2018,50890,1.0762E+18,NULL,11305,Twitter for iPhone,"Today\, it was my honor to sign into law H.R. 7213\, the “Countering Weapons of Mass Destruction Act of 2018.” The Act redesignates the @DHSgov Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office. Read more: https://t.co/XCkyc8pGZF https://t.co/TTvGxBww5n",,,,
Fri Dec 21 19:28:13 +0000 2018,58737,1.0762E+18,NULL,13670,Twitter for iPhone,"Today\, it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK",,,,
Fri Dec 21 15:31:41 +0000 2018,113494,1.07614E+18,NULL,21550,Twitter for iPhone,I’ve done more damage to ISIS than all recent presidents....not even close!,,,,
Fri Dec 21 15:07:23 +0000 2018,130682,1.07613E+18,NULL,29590,Twitter for iPhone,The Democrats now own the shutdown!,,,,
Fri Dec 21 14:50:29 +0000 2018,80674,1.07613E+18,NULL,21921,Twitter for iPhone,"General Anthony Tata\, author\, “Dark Winter.” I think the President is making the exact right move in Syria. All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS.”",,,,
Fri Dec 21 14:41:59 +0000 2018,78074,1.07613E+18,NULL,17274,Twitter for iPhone,"There has never been a president who has been tougher (but fair) on China or Russia - Never\, just look at the facts. The Fake News tries so hard to paint the opposite picture.",,,,
Fri Dec 21 13:08:06 +0000 2018,69834,1.0761E+18,NULL,15952,Twitter for iPhone,Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEEDED Border Security! Have my total support.,,,,
Fri Dec 21 13:02:35 +0000 2018,118887,1.0761E+18,NULL,28519,Twitter for iPhone,"Mitch\, use the Nuclear Option and get it done! Our Country is counting on you!",,,,
Fri Dec 21 12:38:15 +0000 2018,93217,1.07609E+18,NULL,20751,Twitter for iPhone,"Even President Ronald Reagan tried for 8 years to build a Border Wall\, or Fence\, and was unable to do so. Others also have tried. We will get it done\, one way or the other!",,,,
Fri Dec 21 12:31:35 +0000 2018,104721,1.07609E+18,NULL,23238,Twitter for iPhone,Shutdown today if Democrats do not vote for Border Security!,,,,
Fri Dec 21 12:27:47 +0000 2018,62604,1.07609E+18,NULL,11100,Twitter for iPhone,"House Republican Vote\, 217-185.",,,,
Fri Dec 21 12:24:18 +0000 2018,81582,1.07609E+18,NULL,19337,Twitter for iPhone,"The Democrats\, whose votes we need in the Senate\, will probably vote against Border Security and the Wall even though they know it is DESPERATELY NEEDED. If the Dems vote no\, there will be a shutdown that will last for a very long time. People don’t want Open Borders and Crime!",,,,
Fri Dec 21 12:19:46 +0000 2018,78125,1.07609E+18,NULL,17819,Twitter for iPhone,"No matter what happens today in the Senate\, Republican House Members should be very proud of themselves. They flew back to Washington from all parts of the World in order to vote for Border Security and the Wall. Not one Democrat voted yes\, and we won big. I am very proud of you!",,,,
Fri Dec 21 12:10:36 +0000 2018,67948,1.07609E+18,NULL,15582,Twitter for iPhone,".....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work\, and the Democrats are lying when they say they don’t. In Israel the Wall is 99.9% successful. Will not be any different on our Southern Border! Hundreds of $Billions saved!",,,,
Fri Dec 21 11:58:29 +0000 2018,101281,1.07608E+18,NULL,22063,Twitter for iPhone,"The Democrats are trying to belittle the concept of a Wall\, calling it old fashioned. The fact is there is nothing else’s that will work\, and that has been true for thousands of years. It’s like the wheel\, there is nothing better. I know tech better than anyone\, &amp; technology.....",,,,
Fri Dec 21 11:50:53 +0000 2018,73249,1.07608E+18,NULL,16593,Twitter for iPhone,"Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will need Democrat votes\, but as shown in the House\, good things happen. If enough Dems don’t vote\, it will be a Democrat Shutdown! House Republicans were great yesterday!",,,,
Fri Dec 21 03:20:29 +0000 2018,113127,1.07595E+18,NULL,28189,Twitter for iPhone,"Soon to be Speaker Nancy Pelosi said\, last week live from the Oval Office\, that the Republicans didn’t have the votes for Border Security. Today the House Republicans voted and won\, 217-185. Nancy does not have to apologize. All I want is GREAT BORDER SECURITY!",,,,
